Genome	Permutation	Clusters
701	5	Perm25	8675
702	6	Perm25	12421
703	7	Perm25	13362
704	8	Perm25	14258
705	9	Perm25	14961
706	10	Perm25	15660
707	11	Perm25	19279
708	12	Perm25	21311
709	13	Perm25	21870
710	14	Perm25	23047
711	15	Perm25	23966
712	16	Perm25	24896
713	17	Perm25	25426
714	18	Perm25	26236
715	19	Perm25	26766
716	20	Perm25	27201
717	21	Perm25	27780
718	22	Perm25	28551
719	23	Perm25	28839
720	24	Perm25	29002
721	25	Perm25	29124
722	26	Perm25	29596
723	27	Perm25	29616
724	28	Perm25	30489
725	29	Perm25	30970
726	1	Perm26	3309
727	2	Perm26	5074
728	3	Perm26	6515
729	4	Perm26	7636
730	5	Perm26	11741
731	6	Perm26	12707
732	7	Perm26	13579
733	8	Perm26	17048
734	9	Perm26	18107
735	10	Perm26	19900
736	11	Perm26	20642
737	12	Perm26	21306
738	13	Perm26	21903
739	14	Perm26	22752
740	15	Perm26	23906
741	16	Perm26	24954
742	17	Perm26	26110
743	18	Perm26	26695
744	19	Perm26	27143
745	20	Perm26	27818
746	21	Perm26	28401
747	22	Perm26	28945
748	23	Perm26	29054
749	24	Perm26	29453
750	25	Perm26	29518
751	26	Perm26	29647
752	27	Perm26	29791
753	28	Perm26	30521
754	29	Perm26	30970
755	1	Perm27	2156
756	2	Perm27	6018
757	3	Perm27	8722
758	4	Perm27	9890
759	5	Perm27	11081
760	6	Perm27	12684
761	7	Perm27	13985
762	8	Perm27	16508
763	9	Perm27	18174
764	10	Perm27	19207
765	11	Perm27	21283
766	12	Perm27	22436
767	13	Perm27	23593
768	14	Perm27	24317
769	15	Perm27	25042
770	16	Perm27	25373
771	17	Perm27	25875
772	18	Perm27	26149
773	19	Perm27	26878
774	20	Perm27	27485
775	21	Perm27	28124
776	22	Perm27	28671
777	23	Perm27	28940
778	24	Perm27	29429
779	25	Perm27	29562
780	26	Perm27	30157
781	27	Perm27	30278
782	28	Perm27	30565
783	29	Perm27	30970
784	1	Perm28	3075
785	2	Perm28	5187
786	3	Perm28	9888
787	4	Perm28	11358
788	5	Perm28	12537
789	6	Perm28	15139
790	7	Perm28	16396
791	8	Perm28	17311
792	9	Perm28	18183
793	10	Perm28	21070
794	11	Perm28	22005
795	12	Perm28	22945
796	13	Perm28	23575
