Genome	Permutation	Clusters
498	22	Perm18	1107780
499	23	Perm18	1152299
500	24	Perm18	1162113
501	25	Perm18	1165869
502	26	Perm18	1172023
503	27	Perm18	1172963
504	28	Perm18	1177920
505	1	Perm19	297535
506	2	Perm19	427353
507	3	Perm19	674991
508	4	Perm19	725044
509	5	Perm19	772996
510	6	Perm19	804648
511	7	Perm19	849523
512	8	Perm19	874429
513	9	Perm19	962830
514	10	Perm19	973268
515	11	Perm19	991853
516	12	Perm19	1050685
517	13	Perm19	1059604
518	14	Perm19	1089170
519	15	Perm19	1092856
520	16	Perm19	1113639
521	17	Perm19	1125586
522	18	Perm19	1129282
523	19	Perm19	1133100
524	20	Perm19	1140182
525	21	Perm19	1142036
526	22	Perm19	1148585
527	23	Perm19	1157035
528	24	Perm19	1159003
529	25	Perm19	1165105
530	26	Perm19	1171342
531	27	Perm19	1176231
532	28	Perm19	1177920
533	1	Perm20	507666
534	2	Perm20	595405
535	3	Perm20	666940
536	4	Perm20	730319
537	5	Perm20	839250
538	6	Perm20	887250
539	7	Perm20	928482
540	8	Perm20	951053
541	9	Perm20	969263
542	10	Perm20	989617
543	11	Perm20	997943
544	12	Perm20	1010425
545	13	Perm20	1016370
546	14	Perm20	1022807
547	15	Perm20	1032890
548	16	Perm20	1035537
549	17	Perm20	1058730
550	18	Perm20	1060754
551	19	Perm20	1074290
552	20	Perm20	1082783
553	21	Perm20	1091611
554	22	Perm20	1092689
555	23	Perm20	1159421
556	24	Perm20	1164721
557	25	Perm20	1170306
558	26	Perm20	1175846
559	27	Perm20	1176789
560	28	Perm20	1177920
561	1	Perm21	509380
562	2	Perm21	606627
563	3	Perm21	652520
564	4	Perm21	768372
565	5	Perm21	818725
566	6	Perm21	855038
567	7	Perm21	876314
568	8	Perm21	902281
569	9	Perm21	923455
570	10	Perm21	938466
571	11	Perm21	955295
572	12	Perm21	1008130
573	13	Perm21	1018018
574	14	Perm21	1026520
575	15	Perm21	1040244
576	16	Perm21	1046255
577	17	Perm21	1051836
578	18	Perm21	1122525
579	19	Perm21	1126477
580	20	Perm21	1136189
581	21	Perm21	1139774
582	22	Perm21	1162710
583	23	Perm21	1167018
584	24	Perm21	1168080
585	25	Perm21	1169375
586	26	Perm21	1171272
587	27	Perm21	1176231
588	28	Perm21	1177920
589	1	Perm22	506355
590	2	Perm22	612603
591	3	Perm22	677813
592	4	Perm22	721660
593	5	Perm22	750928
594	6	Perm22	810382
595	7	Perm22	849155
596	8	Perm22	898300
597	9	Perm22	921904
598	10	Perm22	940933
599	11	Perm22	954727
600	12	Perm22	1012859
601	13	Perm22	1019842
602	14	Perm22	1026106
603	15	Perm22	1030533
604	16	Perm22	1056608
605	17	Perm22	1068599
606	18	Perm22	1071335
607	19	Perm22	1077055
608	20	Perm22	1084449
609	21	Perm22	1089840
610	22	Perm22	1096023
611	23	Perm22	1097871
612	24	Perm22	1164743
613	25	Perm22	1168626
614	26	Perm22	1174494
615	27	Perm22	1176789
616	28	Perm22	1177920
617	1	Perm23	275253
618	2	Perm23	414067
619	3	Perm23	676799
620	4	Perm23	750090
621	5	Perm23	798256
622	6	Perm23	832104
623	7	Perm23	861780
624	8	Perm23	878134
625	9	Perm23	893503
626	10	Perm23	978866
627	11	Perm23	996538
628	12	Perm23	1010741
629	13	Perm23	1040317
630	14	Perm23	1048709
631	15	Perm23	1070612
632	16	Perm23	1073489
633	17	Perm23	1075733
634	18	Perm23	1087702
635	19	Perm23	1089490
636	20	Perm23	1090016
637	21	Perm23	1097669
638	22	Perm23	1098702
639	23	Perm23	1108488
640	24	Perm23	1109579
641	25	Perm23	1128080
642	26	Perm23	1137432
643	27	Perm23	1138682
644	28	Perm23	1177920
645	1	Perm24	297535
646	2	Perm24	624948
647	3	Perm24	698008
648	4	Perm24	755899
649	5	Perm24	792293
650	6	Perm24	822150
651	7	Perm24	855399
652	8	Perm24	877096
653	9	Perm24	900807
654	10	Perm24	921742
655	11	Perm24	930966
656	12	Perm24	950500
657	13	Perm24	956493
658	14	Perm24	1013981
659	15	Perm24	1088624
660	16	Perm24	1097162
661	17	Perm24	1104890
662	18	Perm24	1111555
663	19	Perm24	1120275
664	20	Perm24	1127783
665	21	Perm24	1130754
666	22	Perm24	1153717
667	23	Perm24	1159175
668	24	Perm24	1159592
669	25	Perm24	1161726
670	26	Perm24	1175045
671	27	Perm24	1177022
672	28	Perm24	1177920
673	1	Perm25	482891
674	2	Perm25	526463
675	3	Perm25	698161
676	4	Perm25	752865
677	5	Perm25	797546
678	6	Perm25	847467
679	7	Perm25	886799
680	8	Perm25	956467
681	9	Perm25	970722
682	10	Perm25	992780
683	11	Perm25	1010052
684	12	Perm25	1021671
685	13	Perm25	1031694
686	14	Perm25	1039950
687	15	Perm25	1049997
688	16	Perm25	1057046
689	17	Perm25	1062700
690	18	Perm25	1071856
691	19	Perm25	1139952
692	20	Perm25	1149805
693	21	Perm25	1152611
694	22	Perm25	1158566
695	23	Perm25	1160318
696	24	Perm25	1165236
697	25	Perm25	1169069
698	26	Perm25	1170313
699	27	Perm25	1176730
700	28	Perm25	1177920
701	1	Perm26	275253
702	2	Perm26	413603
703	3	Perm26	678871
704	4	Perm26	771765
705	5	Perm26	803590
706	6	Perm26	830615
707	7	Perm26	858823
708	8	Perm26	879077
709	9	Perm26	898866
710	10	Perm26	923905
711	11	Perm26	944441
712	12	Perm26	979514
713	13	Perm26	993776
714	14	Perm26	997902
715	15	Perm26	1049821
716	16	Perm26	1059287
717	17	Perm26	1064140
718	18	Perm26	1065857
719	19	Perm26	1067649
720	20	Perm26	1075817
721	21	Perm26	1093297
722	22	Perm26	1099166
723	23	Perm26	1099583
724	24	Perm26	1105161
725	25	Perm26	1109947
726	26	Perm26	1110880
727	27	Perm26	1112148
728	28	Perm26	1177920
729	1	Perm27	297535
730	2	Perm27	619796
731	3	Perm27	681282
732	4	Perm27	748240
733	5	Perm27	785657
734	6	Perm27	885880
735	7	Perm27	906773
736	8	Perm27	940685
737	9	Perm27	954877
738	10	Perm27	965491
739	11	Perm27	1031968
740	12	Perm27	1049332
741	13	Perm27	1056230
742	14	Perm27	1069888
743	15	Perm27	1082912
744	16	Perm27	1105662
745	17	Perm27	1132153
746	18	Perm27	1137504
747	19	Perm27	1142531
748	20	Perm27	1148840
749	21	Perm27	1152965
750	22	Perm27	1157892
751	23	Perm27	1159769
752	24	Perm27	1164128
753	25	Perm27	1169700
754	26	Perm27	1171526
755	27	Perm27	1176789
756	28	Perm27	1177920
757	1	Perm28	377687
758	2	Perm28	670010
759	3	Perm28	752691
760	4	Perm28	801335
761	5	Perm28	833233
762	6	Perm28	885710
763	7	Perm28	918235
764	8	Perm28	937145
765	9	Perm28	959437
766	10	Perm28	979860
767	11	Perm28	998682
768	12	Perm28	1003298
769	13	Perm28	1021947
770	14	Perm28	1029961
771	15	Perm28	1040904
772	16	Perm28	1045563
773	17	Perm28	1051585
774	18	Perm28	1056913
775	19	Perm28	1058693
776	20	Perm28	1068226
777	21	Perm28	1069799
778	22	Perm28	1078191
779	23	Perm28	1146873
780	24	Perm28	1147871
781	25	Perm28	1154343
782	26	Perm28	1168380
783	27	Perm28	1171946
784	28	Perm28	1177920
785	1	Perm29	377687
786	2	Perm29	671151
787	3	Perm29	771097
788	4	Perm29	825410
789	5	Perm29	849864
790	6	Perm29	872633
791	7	Perm29	907255
792	8	Perm29	928678
793	9	Perm29	968122
794	10	Perm29	981230
795	11	Perm29	996237
796	12	Perm29	1004395
797	13	Perm29	1010614
798	14	Perm29	1018622
799	15	Perm29	1030648
800	16	Perm29	1041252
801	17	Perm29	1051135
802	18	Perm29	1057729
803	19	Perm29	1060782
804	20	Perm29	1086640
805	21	Perm29	1093491
806	22	Perm29	1096346
807	23	Perm29	1099924
808	24	Perm29	1100557
809	25	Perm29	1106187
810	26	Perm29	1110787
811	27	Perm29	1112148
812	28	Perm29	1177920
813	1	Perm30	507064
814	2	Perm30	670302
815	3	Perm30	741873
816	4	Perm30	784064
817	5	Perm30	896494
818	6	Perm30	938380
819	7	Perm30	966554
820	8	Perm30	1003955
821	9	Perm30	1022900
822	10	Perm30	1039078
823	11	Perm30	1072523
824	12	Perm30	1085767
825	13	Perm30	1097002
826	14	Perm30	1106353
827	15	Perm30	1113479
828	16	Perm30	1118704
829	17	Perm30	1126426
830	18	Perm30	1133034
831	19	Perm30	1137351
832	20	Perm30	1144184
833	21	Perm30	1151077
834	22	Perm30	1164999
835	23	Perm30	1167286
836	24	Perm30	1169833
837	25	Perm30	1173038
838	26	Perm30	1174813
839	27	Perm30	1177022
840	28	Perm30	1177920
841	1	Perm31	511969
842	2	Perm31	596782
843	3	Perm31	674512
844	4	Perm31	697544
845	5	Perm31	717276
846	6	Perm31	731946
847	7	Perm31	800302
848	8	Perm31	850641
849	9	Perm31	881578
850	10	Perm31	891191
851	11	Perm31	915842
852	12	Perm31	920244
853	13	Perm31	954399
854	14	Perm31	958500
855	15	Perm31	1019334
