Genome	Permutation	Clusters
733	8	Perm26	24325
734	9	Perm26	24587
735	10	Perm26	25077
736	11	Perm26	25374
737	12	Perm26	25734
738	13	Perm26	26057
739	14	Perm26	26269
740	15	Perm26	26499
741	16	Perm26	26676
742	17	Perm26	27799
743	18	Perm26	27945
744	19	Perm26	28124
745	20	Perm26	28756
746	21	Perm26	28885
747	22	Perm26	28987
748	23	Perm26	29266
749	24	Perm26	29373
750	25	Perm26	29497
751	26	Perm26	29601
752	27	Perm26	29709
753	28	Perm26	29779
754	29	Perm26	29897
755	1	Perm27	16277
756	2	Perm27	19004
757	3	Perm27	20807
758	4	Perm27	22215
759	5	Perm27	22936
760	6	Perm27	23845
761	7	Perm27	24758
762	8	Perm27	25223
763	9	Perm27	25612
764	10	Perm27	26133
765	11	Perm27	26365
766	12	Perm27	26578
767	13	Perm27	26965
768	14	Perm27	27157
769	15	Perm27	27446
770	16	Perm27	27670
771	17	Perm27	27867
772	18	Perm27	28096
773	19	Perm27	28358
774	20	Perm27	28577
775	21	Perm27	28686
776	22	Perm27	28837
777	23	Perm27	28964
778	24	Perm27	29092
779	25	Perm27	29176
780	26	Perm27	29297
781	27	Perm27	29398
782	28	Perm27	29665
783	29	Perm27	29897
784	1	Perm28	16293
785	2	Perm28	19193
786	3	Perm28	20480
787	4	Perm28	21236
788	5	Perm28	22258
789	6	Perm28	22921
790	7	Perm28	23557
791	8	Perm28	24011
792	9	Perm28	24382
793	10	Perm28	24824
794	11	Perm28	25115
795	12	Perm28	26265
796	13	Perm28	26415
797	14	Perm28	26717
798	15	Perm28	27005
799	16	Perm28	27203
800	17	Perm28	27546
801	18	Perm28	28267
802	19	Perm28	28489
803	20	Perm28	28618
804	21	Perm28	28702
805	22	Perm28	28996
806	23	Perm28	29170
807	24	Perm28	29345
808	25	Perm28	29471
809	26	Perm28	29592
810	27	Perm28	29697
811	28	Perm28	29780
812	29	Perm28	29897
813	1	Perm29	16482
814	2	Perm29	19188
815	3	Perm29	20453
816	4	Perm29	21590
817	5	Perm29	22437
818	6	Perm29	23204
819	7	Perm29	23929
820	8	Perm29	24356
821	9	Perm29	24741
822	10	Perm29	25148
823	11	Perm29	25451
824	12	Perm29	25690
825	13	Perm29	25954
826	14	Perm29	26154
827	15	Perm29	26341
828	16	Perm29	26507
829	17	Perm29	26656
830	18	Perm29	26781
831	19	Perm29	26907
832	20	Perm29	27963
833	21	Perm29	28113
834	22	Perm29	28325
835	23	Perm29	28586
836	24	Perm29	28757
837	25	Perm29	28883
838	26	Perm29	28998
839	27	Perm29	29668
840	28	Perm29	29768
841	29	Perm29	29897
842	1	Perm30	16142
843	2	Perm30	18590
844	3	Perm30	19852
845	4	Perm30	21534
846	5	Perm30	22607
847	6	Perm30	23327
848	7	Perm30	23653
849	8	Perm30	24926
850	9	Perm30	25372
851	10	Perm30	25709
852	11	Perm30	25925
853	12	Perm30	26298
854	13	Perm30	26488
855	14	Perm30	26855
856	15	Perm30	27058
857	16	Perm30	27191
858	17	Perm30	27350
859	18	Perm30	27659
860	19	Perm30	27859
861	20	Perm30	28576
862	21	Perm30	28759
863	22	Perm30	29044
864	23	Perm30	29178
865	24	Perm30	29326
866	25	Perm30	29478
867	26	Perm30	29573
868	27	Perm30	29678
869	28	Perm30	29808
870	29	Perm30	29897
871	1	Perm31	16293
872	2	Perm31	18647
873	3	Perm31	20601
874	4	Perm31	22238
875	5	Perm31	22943
876	6	Perm31	23594
877	7	Perm31	23972
878	8	Perm31	24524
879	9	Perm31	24996
880	10	Perm31	25442
881	11	Perm31	25926
882	12	Perm31	26230
883	13	Perm31	26461
884	14	Perm31	26800
885	15	Perm31	27546
886	16	Perm31	27905
887	17	Perm31	28148
888	18	Perm31	28311
889	19	Perm31	28478
890	20	Perm31	28597
891	21	Perm31	28779
892	22	Perm31	28905
893	23	Perm31	29024
894	24	Perm31	29290
895	25	Perm31	29388
896	26	Perm31	29483
897	27	Perm31	29627
898	28	Perm31	29751
899	29	Perm31	29897
900	1	Perm32	16210
901	2	Perm32	18414
902	3	Perm32	20385
903	4	Perm32	21984
904	5	Perm32	23011
905	6	Perm32	23901
906	7	Perm32	24532
907	8	Perm32	24961
908	9	Perm32	25450
909	10	Perm32	25766
910	11	Perm32	26021
911	12	Perm32	26380
912	13	Perm32	26658
913	14	Perm32	26850
914	15	Perm32	27109
915	16	Perm32	27462
916	17	Perm32	27695
917	18	Perm32	27910
918	19	Perm32	28038
919	20	Perm32	28159
920	21	Perm32	28338
921	22	Perm32	28506
922	23	Perm32	29197
923	24	Perm32	29327
924	25	Perm32	29449
925	26	Perm32	29565
926	27	Perm32	29656
927	28	Perm32	29790
928	29	Perm32	29897
929	1	Perm33	15966
930	2	Perm33	19219
931	3	Perm33	20715
932	4	Perm33	21808
933	5	Perm33	22665
934	6	Perm33	23291
935	7	Perm33	23798
936	8	Perm33	24176
937	9	Perm33	24593
938	10	Perm33	24942
939	11	Perm33	25257
940	12	Perm33	25649
941	13	Perm33	25830
942	14	Perm33	26034
943	15	Perm33	26291
944	16	Perm33	27381
945	17	Perm33	27694
946	18	Perm33	28422
947	19	Perm33	28543
948	20	Perm33	28745
949	21	Perm33	28929
950	22	Perm33	29041
951	23	Perm33	29170
952	24	Perm33	29342
953	25	Perm33	29429
954	26	Perm33	29546
955	27	Perm33	29685
956	28	Perm33	29793
957	29	Perm33	29897
958	1	Perm34	16060
959	2	Perm34	19055
960	3	Perm34	20387
961	4	Perm34	21509
962	5	Perm34	22151
963	6	Perm34	23030
964	7	Perm34	23458
965	8	Perm34	24002
966	9	Perm34	24409
967	10	Perm34	24740
968	11	Perm34	25141
969	12	Perm34	25420
970	13	Perm34	25623
971	14	Perm34	25981
972	15	Perm34	26153
973	16	Perm34	26531
974	17	Perm34	26660
975	18	Perm34	27736
976	19	Perm34	27976
977	20	Perm34	28092
978	21	Perm34	28288
979	22	Perm34	28464
980	23	Perm34	28558
981	24	Perm34	29253
982	25	Perm34	29401
983	26	Perm34	29549
984	27	Perm34	29685
985	28	Perm34	29793
986	29	Perm34	29897
987	1	Perm35	15951
988	2	Perm35	18323
989	3	Perm35	20628
990	4	Perm35	21287
991	5	Perm35	21968
992	6	Perm35	22659
993	7	Perm35	23510
994	8	Perm35	24131
995	9	Perm35	24481
996	10	Perm35	24844
997	11	Perm35	25126
998	12	Perm35	25489
999	13	Perm35	25898
1000	14	Perm35	26111
1001	15	Perm35	26283
1002	16	Perm35	26400
1003	17	Perm35	26550
1004	18	Perm35	26640
1005	19	Perm35	27770
1006	20	Perm35	27996
1007	21	Perm35	28213
